0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:34:11 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:34:11 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:35:15 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:35:15 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:37:41 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:37:41 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:38:04 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:38:04 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:39:04 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:39:04 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
